품목일련번호,품목명,큰제품이미지,분류명
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300104,기타의소화기관용약
200808877,페라트라정2.5밀리그램(레트로졸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107,항악성종양제
200808948,졸뎀속붕정(졸피뎀타르타르산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300128,최면진정제
200809076,가스프렌정(모사프리드시트르산염이수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300143,기타의소화기관용약
200809361,바르탄정(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155,혈압강하제
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300161,동맥경화용제
200809710,사르발탄정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153432591328100009,혈압강하제
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500103,기타의소화기관용약
200809883,아푸르탄정150밀리그램(이르베사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300198,혈압강하제
200809909,발사르텔정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCNrLiTjPI,혈압강하제
200809910,발사르텔정160밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_Kd2y,혈압강하제
200809959,동광모니플루메이트정350mg,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152648520364900061,해열.진통.소염제
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700016,정신신경용제
200810314,발산정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309300033,혈압강하제
200810338,가스리드정5mg(모사프리드시트르산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426407360700025,기타의소화기관용약
200810473,엑스반정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665498867700136,혈압강하제
